Time [s],Voltage [V]
0.000000000000000000e+00,7.533761063770371075e-04
9.766199998557567596e-02,7.691022946900486455e-04
1.973350000334903598e-01,7.841918501958209178e-04
2.975896666757762432e-01,7.990989389431016939e-04
3.980783333536237478e-01,8.138177113107953036e-04
4.979909999528899789e-01,8.283007706670849658e-04
5.973166666226461530e-01,8.425483180441661283e-04
6.973933333065360785e-01,8.567386787038177654e-04
7.978473333641886711e-01,8.708204007425552565e-04
8.972920001251623034e-01,8.846311641905159817e-04
9.979163333773612976e-01,8.984655289822488303e-04
1.097729000030085444e+00,9.120484892584972613e-04
1.197786333388648927e+00,9.255249863412750915e-04
1.297840000130236149e+00,9.389014740151931061e-04
1.397373333456926048e+00,9.520868102863981912e-04
1.497579999966546893e+00,9.652380852509471337e-04
1.597663000109605491e+00,9.782496845832768309e-04
1.697766666649840772e+00,9.911810219855512333e-04
1.797268666676245630e+00,1.003929656694878140e-03
1.897343666758388281e+00,1.016645333403216975e-03
1.997443666681647301e+00,1.029257467952929663e-03
2.097802333417348564e+00,1.041824455992523910e-03
2.197741666692309082e+00,1.054245070420335457e-03
2.297666333382949233e+00,1.066569576272079385e-03
2.398012333433143795e+00,1.078851172525884666e-03
2.497465666732750833e+00,1.090943764772105921e-03
2.597469333326444030e+00,1.103018962796553735e-03
2.697416000068187714e+00,1.115004524930449537e-03
2.797421000082977116e+00,1.126916222034409897e-03
2.897320666699670255e+00,1.138737114401219743e-03
2.997461666702292860e+00,1.150509844209915596e-03
3.098101000068709254e+00,1.162265807045264818e-03
3.197603333275765181e+00,1.173816703339058054e-03
3.297966000041924417e+00,1.185396727833503555e-03
3.398032000055536628e+00,1.196873812595639639e-03
3.497787666739895940e+00,1.208249028769058965e-03
3.597845000098459423e+00,1.219594190176374708e-03
3.697838666732423007e+00,1.230862383272269059e-03
3.797927333391271532e+00,1.242077681483604208e-03
3.897473000106401742e+00,1.253170788129889107e-03
3.997612333274446428e+00,1.264269957783530594e-03
4.097921333392150700e+00,1.275329151902227951e-03
4.197886333335191011e+00,1.286293530954043520e-03
4.297536666621454060e+00,1.297168500269492517e-03
4.397672333405353129e+00,1.308042858710268402e-03
4.498115000082179904e+00,1.318887803647807730e-03
4.597381666651926935e+00,1.329551960594386583e-03
4.697657000040635467e+00,1.340271609623452931e-03
4.798025333438999951e+00,1.350949214716258822e-03
4.897394999978132546e+00,1.361470547668094727e-03
4.997282333439216018e+00,1.371997730578490516e-03
5.097853333340026438e+00,1.382548596900324243e-03
5.197689333464950323e+00,1.392975569225677734e-03
5.297465000068768859e+00,1.403342225522119123e-03
5.397707666736096144e+00,1.413709602379552462e-03
5.497306666802614927e+00,1.423964011685010383e-03
5.597396333352662623e+00,1.434223211829788614e-03
5.697744333301670849e+00,1.444463744239346797e-03
5.797937666764482856e+00,1.454644262802789459e-03
5.897699333378113806e+00,1.464737872787899272e-03
5.997361000045202672e+00,1.474779333305361022e-03
6.097834333311766386e+00,1.484856264503167309e-03
6.197446000063791871e+00,1.494804548576388493e-03
6.297548666712827981e+00,1.504760308538676764e-03
6.397849666769616306e+00,1.514694687357598813e-03
6.497345000039786100e+00,1.524509288066628341e-03
6.597871666774153709e+00,1.534385864218670674e-03
6.698111333418637514e+00,1.544195131393962710e-03
6.797325333347544074e+00,1.553866239886628458e-03
6.897858333424665034e+00,1.563623646307450796e-03
6.997364333365112543e+00,1.573242927245607856e-03
7.097512000007554889e+00,1.582886228261775295e-03
7.197670666733756661e+00,1.592492941795684014e-03
7.297782333334907889e+00,1.602058017554120438e-03
7.397906666737981141e+00,1.611587667898198815e-03
7.497874666703864932e+00,1.621066377513787592e-03
7.597927333437837660e+00,1.630517527351435471e-03
7.698258333373814821e+00,1.639959711351814554e-03
7.797576999990269542e+00,1.649272336164153176e-03
7.897528000059537590e+00,1.658610298920745827e-03
7.997815000126138330e+00,1.667945911935119537e-03
8.097924333414994180e+00,1.677231771278940402e-03
8.197834333404898643e+00,1.686466545382101856e-03
8.298014000058174133e+00,1.695694041938795730e-03
8.397955333348363638e+00,1.704867944893363307e-03
8.497602333314716816e+00,1.713980470648550445e-03
8.597828333382494748e+00,1.723114448097411155e-03
8.697462666663341224e+00,1.732163714444790543e-03
8.798035666695795953e+00,1.741267545612290059e-03
8.897569000022485852e+00,1.750247348795586945e-03
8.998079666751436889e+00,1.759285568529677301e-03
9.098308666725642979e+00,1.768269126930912660e-03
9.197324333363212645e+00,1.777115606686056545e-03
9.297640000004321337e+00,1.786049962929227080e-03
9.397623999975621700e+00,1.794926906558608421e-03
9.497568999999202788e+00,1.803773017727366718e-03
9.598044999991543591e+00,1.812638989480454699e-03
9.697787333396263421e+00,1.821413750869861539e-03
9.797451333375647664e+00,1.830155715470066849e-03
9.897629000013694167e+00,1.838917081293094460e-03
9.997680666740052402e+00,1.847642197081679569e-03
1.009750933339819312e+01,1.856310286902133032e-03
1.019774566672276706e+01,1.864986622174213092e-03
1.029784466675482690e+01,1.873624572538489224e-03
1.039749500004108995e+01,1.882197801288167278e-03
1.049758500012103468e+01,1.890783036446252747e-03
1.059741833340376616e+01,1.899320776728530367e-03
1.069760100007988513e+01,1.907863111079662922e-03
1.079753633332438767e+01,1.916359423169380471e-03
1.089780233346391469e+01,1.924859122430744481e-03
1.099734900007024407e+01,1.933273639048031182e-03
1.109762500005308539e+01,1.941725722130936260e-03
1.119810233335010707e+01,1.950170833132766970e-03
1.129808366671204567e+01,1.958550766474886906e-03
1.139744033338502049e+01,1.966855427321293360e-03
1.149734766676556319e+01,1.975183377304826852e-03
1.159793200006242841e+01,1.983545027711489106e-03
1.169770333345513791e+01,1.991807320120917574e-03
1.179807633347809315e+01,2.000095348328438487e-03
1.189724833332002163e+01,2.008260912554807320e-03
1.199764466669876128e+01,2.016503893790326692e-03
1.209764200006611645e+01,2.024690913904071340e-03
1.219774500012863427e+01,2.032863587095251959e-03
1.229801899997983128e+01,2.041027346308757224e-03
1.239739166665822268e+01,2.049095328852850676e-03
1.249789400002919137e+01,2.057232546724763536e-03
1.259803100000135601e+01,2.065317894069669969e-03
1.269797566661145538e+01,2.073365718988202933e-03
1.279772999999113381e+01,2.081376501112511095e-03
1.289791466668248177e+01,2.089400198154510533e-03
1.299770933343097568e+01,2.097371289991684963e-03
1.309779966669157147e+01,2.105344767861259264e-03
1.319814366661012173e+01,2.113317305413708620e-03
1.329740366665646434e+01,2.121177685427703009e-03
1.339756166678853333e+01,2.129087412332348814e-03
1.349743966665118933e+01,2.136953523310435379e-03
1.359773733338806778e+01,2.144831211127525439e-03
1.369802233332302421e+01,2.152686522566180007e-03
1.379759066668339074e+01,2.160464678922289442e-03
1.389812566677574068e+01,2.168297235195038811e-03
1.399781000008806586e+01,2.176042701759115221e-03
1.409777300001587719e+01,2.183789140047759196e-03
1.419763200008310378e+01,2.191506974757377428e-03
1.429788700013887137e+01,2.199234893202088679e-03
1.439793766674119979e+01,2.206926695027544745e-03
1.449800033343490213e+01,2.214599204213840537e-03
1.459748066670726985e+01,2.222207153779264845e-03
1.469777633331250399e+01,2.229857496507971042e-03
1.479792433336842805e+01,2.237476711186518492e-03
1.489778666675556451e+01,2.245052600346174234e-03
1.499784133338835090e+01,2.252623042343413536e-03
1.509786833333782852e+01,2.260171483604137693e-03
1.519748800015076995e+01,2.267669488600177613e-03
1.529800666670780629e+01,2.275215319326397926e-03
1.539778366673272103e+01,2.282685849049397205e-03
1.549800633336417377e+01,2.290170144964816419e-03
1.559744499996304512e+01,2.297576557432658585e-03
1.569761333346832544e+01,2.305017921187666428e-03
1.579785533330868930e+01,2.312445345400731232e-03
1.589796199998818338e+01,2.319843436631358492e-03
1.599753799999598414e+01,2.327183243090831348e-03
1.609795800002757460e+01,2.334566073003925112e-03
1.619761966669466347e+01,2.341874167587993695e-03
1.629772000003140420e+01,2.349195460120365956e-03
1.639768033334985375e+01,2.356487607460176336e-03
1.649740833335090429e+01,2.363744390412737817e-03
1.659750700008589774e+01,2.371009452997117125e-03
1.669798833341337740e+01,2.378283512614589798e-03
1.679787300003226846e+01,2.385495799813156306e-03
1.689795833337120712e+01,2.392704062642784894e-03
1.699791966669727117e+01,2.399884960554828518e-03
1.709781266667414457e+01,2.407042607685822098e-03
1.719736900005955249e+01,2.414157948687658487e-03
1.729790766676887870e+01,2.421325135379499491e-03
1.739760966668836772e+01,2.428414512934446486e-03
1.749779166677035391e+01,2.435519857829373212e-03
1.759750466665718704e+01,2.442573914458626844e-03
1.769799566676374525e+01,2.449664870006630375e-03
1.779761666676495224e+01,2.456676513129693769e-03
1.789766833337489516e+01,2.463700557945295525e-03
1.799810199998319149e+01,2.470733418624850193e-03
1.809792933345306665e+01,2.477706977356689596e-03
1.819760466669686139e+01,2.484652487612616038e-03
1.829729366675019264e+01,2.491581569530463679e-03
1.839738133340142667e+01,2.498520941921208299e-03
1.849740533332806081e+01,2.505438528555930383e-03
1.859760033339262009e+01,2.512350596735949716e-03
1.869734100007917732e+01,2.519214145440546847e-03
1.879731300007551908e+01,2.526076480060440114e-03
1.889815966668538749e+01,2.532981540230094721e-03
1.899791633337736130e+01,2.539794922340795919e-03
