Time [s],Voltage [V]
0.000000000000000000e+00,1.921698505787081167e-04
9.737566672265529633e-02,2.012603110860854746e-04
1.975103333825245500e-01,2.097948294911474451e-04
2.974343333626165986e-01,2.179231824650737243e-04
3.976590001257136464e-01,2.257878960636811256e-04
4.975163333583623171e-01,2.334424266411448765e-04
5.977150000398978591e-01,2.409518786490096607e-04
6.980023334035649896e-01,2.483127718689650014e-04
7.983079999685287476e-01,2.555167170254392514e-04
8.978053333703428507e-01,2.625298944497708210e-04
9.982563334051519632e-01,2.695025720242356189e-04
1.097619333420880139e+00,2.762801660418578390e-04
1.197604666696861386e+00,2.829801797996537400e-04
1.297967333346605301e+00,2.896080885726725349e-04
1.397972666658461094e+00,2.961295489907229007e-04
1.497531000059098005e+00,3.025224877517921360e-04
1.597833000007085502e+00,3.088629161749240374e-04
1.697967333486303687e+00,3.151166527623673217e-04
1.797605000087060034e+00,3.212770562216667744e-04
1.898125666775740683e+00,3.274119566772536920e-04
1.998194333398714662e+00,3.334393622924902148e-04
2.097640666761435568e+00,3.393695260339354416e-04
2.197605333407409489e+00,3.452800063158278530e-04
2.298125666682608426e+00,3.511591158442755548e-04
2.398192666820250452e+00,3.569477434650092113e-04
2.497978666680864990e+00,3.626673678754433264e-04
2.598057000082917511e+00,3.683599043158346329e-04
2.697457000031135976e+00,3.739673829573972449e-04
2.797666000085882843e+00,3.795766597073958748e-04
2.897451666765846312e+00,3.851205430227416533e-04
2.998184000025503337e+00,3.906770923890827939e-04
3.098146000062115490e+00,3.961548163747657643e-04
3.198087333352304995e+00,4.015979986684404352e-04
3.297435333370231092e+00,4.069784921173945835e-04
3.397821333375759423e+00,4.123872159512186660e-04
3.497655333369038999e+00,4.177410632373276030e-04
3.597611666657030582e+00,4.230791263267404427e-04
3.697984333382919431e+00,4.284086355027478870e-04
3.797767000040039420e+00,4.336759600384956521e-04
3.897576999966986477e+00,4.389220457269182472e-04
3.997635666630230844e+00,4.441601418703113729e-04
4.098257000092417002e+00,4.494081611653433228e-04
4.197531333426013589e+00,4.545684289094903104e-04
4.297513999976217747e+00,4.597496547290612964e-04
4.397547666798345745e+00,4.649193026778032298e-04
4.497898666770197451e+00,4.700899736077634528e-04
4.597743000020273030e+00,4.752205672010073470e-04
4.698017000104300678e+00,4.803622591338518747e-04
4.797401333460584283e+00,4.854489765154272000e-04
4.897725666756741703e+00,4.905758781984774107e-04
4.998246000031940639e+00,4.957063407460991430e-04
5.097623000037856400e+00,5.007736045212488529e-04
5.197492333361878991e+00,5.058626282224000341e-04
5.297761000110767782e+00,5.109450618918361196e-04
5.397864666651003063e+00,5.159919391037025033e-04
5.497857000096701086e+00,5.210182646865465974e-04
5.598068666760809720e+00,5.260404738856081343e-04
5.698247333406470716e+00,5.310457162058963019e-04
5.797455666703172028e+00,5.359872292888499812e-04
5.897857333417050540e+00,5.409725709396190655e-04
5.997884666780009866e+00,5.459235474216373417e-04
6.098241666681133211e+00,5.509066431290580252e-04
6.197751333354972303e+00,5.558629414418745024e-04
6.297733666724525392e+00,5.608460676339195594e-04
6.397955333464778960e+00,5.658462972089379648e-04
6.497902999981306493e+00,5.708398833853307744e-04
6.597934666788205504e+00,5.758465596456608434e-04
6.697898333426564932e+00,5.808605847295111131e-04
6.797756333369761705e+00,5.858819015580185715e-04
6.898034666781313717e+00,5.908629210305294541e-04
6.997980666696093976e+00,5.957730513471009041e-04
7.097987333429045975e+00,6.006592364264641505e-04
7.198222333332523704e+00,6.055267281505538526e-04
7.298156999982893467e+00,6.103470725301509553e-04
7.397827000007964671e+00,6.151194705570622997e-04
7.498188666766509414e+00,6.198866651133395607e-04
7.598039000062271953e+00,6.245886011451885636e-04
7.698060666676610708e+00,6.294112957450307549e-04
7.798019333393312991e+00,6.343027566522219975e-04
7.897934000124223530e+00,6.392057114667625689e-04
7.998220666660927236e+00,6.441406411692210919e-04
8.098074000095948577e+00,6.490679041737066344e-04
8.198164666770026088e+00,6.540205542996448693e-04
8.298326333402656019e+00,6.589904243375554679e-04
8.398647000081837177e+00,6.639819279609377031e-04
8.498068999964743853e+00,6.688656750505910962e-04
8.598397000110708177e+00,6.737576025921507457e-04
8.698106999974697828e+00,6.786087503051572295e-04
8.797724666772410274e+00,6.834448068671681968e-04
8.897942000068724155e+00,6.882992850920420600e-04
8.997869666665792465e+00,6.931290565164881148e-04
9.097562000039033592e+00,6.979368312463313370e-04
9.197660333476960659e+00,7.027535109961997525e-04
9.298047999967820942e+00,7.075990030259972580e-04
9.397832000046037138e+00,7.124203444858738131e-04
9.497828666702844203e+00,7.172491643945696702e-04
9.597528666723519564e+00,7.220608706707734971e-04
9.697700000018812716e+00,7.268925210762310248e-04
9.798129333416000009e+00,7.317337950618041896e-04
9.897594666806980968e+00,7.365258148252612188e-04
9.997613333398476243e+00,7.413416993692632014e-04
1.009734300011768937e+01,7.461441993079953637e-04
1.019753533334005624e+01,7.509680842566844984e-04
1.029772100003901869e+01,7.557898380190859657e-04
1.039807133341673762e+01,7.606177022655570118e-04
1.049791700008790940e+01,7.654194845116276888e-04
1.059806466673035175e+01,7.702339844958392854e-04
1.069821233337279409e+01,7.750466756948907110e-04
1.079820933332666755e+01,7.798503217577453482e-04
1.089771266665775329e+01,7.846284630972871852e-04
1.099782700010109693e+01,7.894341425431813507e-04
1.109813633339945227e+01,7.942473694891191921e-04
1.119790400005877018e+01,7.990328052323113607e-04
1.129785866674501449e+01,8.038254104461834250e-04
1.139830233342945576e+01,8.086396470643633476e-04
1.149753100005909801e+01,8.133938624599895304e-04
1.159781866671983153e+01,8.181970120922115635e-04
1.169803366682026535e+01,8.229969008056877387e-04
1.179785500001162291e+01,8.277768673356055828e-04
1.189787566673476249e+01,8.325648736468863271e-04
1.199794000003021210e+01,8.373534624472984359e-04
1.209780633333139122e+01,8.421310722451942881e-04
1.219769233348779380e+01,8.469081202589086831e-04
1.229800666670780629e+01,8.517041408260692332e-04
1.239807466662023216e+01,8.564868740835121117e-04
1.249779133335687220e+01,8.612513150879736682e-04
1.259802733338437974e+01,8.660390603010793224e-04
1.269808166672009975e+01,8.708166190205058124e-04
1.279837400000542402e+01,8.756040289033961569e-04
1.289738633343949914e+01,8.803288523970681772e-04
1.299772033339831978e+01,8.851152388968170541e-04
1.309739966678898782e+01,8.898688933366742052e-04
1.319765466672834009e+01,8.946484914357057724e-04
1.329795600008219481e+01,8.994334330636122527e-04
1.339806666667573154e+01,9.042091369190825194e-04
1.349794900009874254e+01,9.089730860230697297e-04
1.359806533332448453e+01,9.137473315567174294e-04
1.369754066667519510e+01,9.184901526896198419e-04
1.379749566677492112e+01,9.232549830589823966e-04
1.389780133333988488e+01,9.280356625095003992e-04
1.399794133345130831e+01,9.328075796419350516e-04
1.409741633338853717e+01,9.375469507315363970e-04
1.419772433338221163e+01,9.423251440881479221e-04
1.429751600010786206e+01,9.470778798309750562e-04
1.439752133341971785e+01,9.518399292769194175e-04
1.449760600004810840e+01,9.566048919575428780e-04
1.459807499998714775e+01,9.613872826988412949e-04
1.469786366668995470e+01,9.661364265076318727e-04
1.479772800009232014e+01,9.708883107784883849e-04
1.489836966677103192e+01,9.756810583361542107e-04
1.499801500013563782e+01,9.804265803105103195e-04
1.509812066669110209e+01,9.851937802500495590e-04
1.519796200003474951e+01,9.899481476043484919e-04
1.529813033342361450e+01,9.947178409769720855e-04
1.539765700011048466e+01,9.994567367325069441e-04
1.549792733346112072e+01,1.004230796218982509e-03
1.559781133336946368e+01,1.008986216690290405e-03
1.569791200011968613e+01,1.013751707271485104e-03
1.579772500006947666e+01,1.018503258420950901e-03
1.589789966680109501e+01,1.023271781088039810e-03
1.599777466664090753e+01,1.028025794185265414e-03
1.609803633333649486e+01,1.032797966625430101e-03
1.619746966671664268e+01,1.037530469449645439e-03
1.629802466672845185e+01,1.042316111303156524e-03
1.639803266664966941e+01,1.047075474417498301e-03
1.649780733347870409e+01,1.051825855449711224e-03
1.659826200013048947e+01,1.056608930288150013e-03
1.669809300010092556e+01,1.061362546052560096e-03
1.679798466677311808e+01,1.066119313230686969e-03
1.689769733336288482e+01,1.070867845307192819e-03
1.699818333331495523e+01,1.075653524093063418e-03
1.709804433339741081e+01,1.080409781114996092e-03
1.719746900000609457e+01,1.085145623467093090e-03
1.729753566673025489e+01,1.089912442760259835e-03
1.739767933345865458e+01,1.094683355607360339e-03
1.749769966676831245e+01,1.099448844626633223e-03
